id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_OBS,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,MORT_MAT_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,VACINACAO_OBS,ORC_PERCAP,ORC_PERCAP_FAIXA,ORC_PERCAP_OBS,ORC_PERCAP_NOTA,EMENDAS_PERCAP,EMENDAS_PERCAP_FAIXA,EMENDAS_TOTAL
11001,11,VALE DO JAMARI,214.728,Norte,"0,617395775",Alta,"0,7791889522",Baixa,"0,8","0,964680899",Alta,,"0,8","129,4661153",Alta,"0,8","19,66568338",Muito Baixa,"0,2","7,695565079",Média,"0,6","0,92",Alta,,"1145,058718",Alta,,"0,8","43,10046159",Baixa,"  9.076.009,00 "
11002,11,CAFE,166.088,Norte,"0,456023313",Muito Baixa,"0,9389091412",Alta,"0,4","0,912046626",Média,,"0,6","138,4808054",Muito Alta,1,"56,24542872",Baixa,"0,4","3,683237633",Muito Baixa,"0,2","0,86",Média,,"986,4313888",Média,,"0,6","62,52444487",Baixa,"  10.384.560,00 "
11003,11,CENTRAL,324.844,Norte,"0,482468385",Muito Baixa,"0,9150753239",Alta,"0,4","0,927823817",Alta,,"0,8","141,6064326",Muito Alta,1,"19,87202323",Muito Baixa,"0,2","6,331982656",Baixa,"0,4","0,86",Média,,"1069,542533",Alta,,"0,8","43,11680376",Baixa,"  14.006.235,00 "
11004,11,MADEIRA-MAMORE,556.022,Norte,"0,810280457",Muito Alta,"0,6429508526",Muito Baixa,1,"0,844042142",Média,,"0,6","139,2031251",Muito Alta,1,"151,6566576",Muito Alta,1,"14,15178652",Muito Alta,1,"0,79",Muito Baixa,,"1020,762573",Média,,"0,6","18,22816184",Muito Baixa,"  10.135.259,00 "
11005,11,ZONA DA MATA,127.503,Norte,"0,591184051",Média,"0,9260260815",Alta,"0,4","0,953522662",Alta,,"0,8","135,683082",Muito Alta,1,"90,20364106",Alta,"0,8","3,006426583",Muito Baixa,"0,2","0,9",Média,,"1155,960865",Muito Alta,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,1,"75,88237924",Média,"  9.675.231,00 "
11006,11,CONE SUL,151.747,Norte,"0,610031434",Alta,"0,8504501944",Média,"0,6","0,89710505",Média,,"0,6","154,204037",Muito Alta,1,"103,062306",Alta,"0,8","2,42663049",Muito Baixa,"0,2","0,94",Alta,,"1349,038872",Muito Alta,,1,"66,1814541",Média,"  9.006.237,00 "
11007,11,VALE DO GUAPORE,40.084,Norte,"0,608724179",Alta,"0,8200770277",Média,"0,6","0,981813192",Muito Alta,,1,"142,2013771",Muito Alta,1,"61,38735421",Média,"0,6","3,096803399",Muito Baixa,"0,2","0,87",Média,,"1134,45919",Alta,,"0,8","41,44860792",Baixa,"  1.661.426,00 "
12001,12,ALTO ACRE,71.100,Norte,"0,355589873",Muito Baixa,"0,9839575098",Alta,"0,4","0,987749648",Muito Alta,,1,"105,4852321",Média,"0,6","29,92220227",Muito Baixa,"0,2","3,412674891",Muito Baixa,"0,2","0,7",Muito Baixa,,"791,0903841",Baixa,,"0,4","168,5094093",Muito Alta,"  11.981.019,00 "
12002,12,BAIXO ACRE E PURUS,526.082,Norte,"0,645560198",Alta,"0,7654198186",Baixa,"0,8","0,922228854",Média,,"0,6","114,6209146",Média,"0,6","63,26969095",Média,"0,6","13,09518551",Muito Alta,1,"0,74",Muito Baixa,,"594,1822795",Muito Baixa,Calculo realizado sem os municípios com informações do ano de 2023 indisponíveis,"0,2","95,99400474",Média,"  50.500.718,00 "
12003,12,JURUA E TARAUACA/ENVIRA,232.844,Norte,"0,515104705",Baixa,"0,8211944525",Média,"0,6","0,990585972",Muito Alta,,1,"79,88180928",Baixa,"0,4","43,63700867",Baixa,"0,4","10,98897569",Alta,"0,8","0,64",Muito Baixa,,"611,519256",Muito Baixa,,"0,2","173,5804401",Muito Alta,"  40.417.164,00 "
