id,name,populacao,UF,região,tipologia_urb_rural,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_FAIXA,MORT_MAT,MATER_FAIXA,MATER_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,ORC_PERCAP,FAIXA_ORC_PERCAP,NOTA_ORC_PERCAP,EMENDAS_PERCAP,FAIXA_EMENDAS_PERCAP,EMENDAS_TOTAL,ICSAP,FAIXA_ICSAP,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,FAIXA_PRE_NATAL,POP_SUS,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAP,TETO EMENDAS_AJUSTADO,TETO_AJUSTADO_PERCAP,TETO_AJUSTADO_PERCAP_FAIXA,EMENDAS_TOTAL_CUSTEIO,EMENDAS_TOTAL_INVES,EMENDAS_IND_TOTAL,EMENDAS_IND_CUSTEIO,EMENDAS_IND_INVES,EMENDAS_COMISS_TOTAL,EMENDAS_COMISS_CUSTEIO,EMENDAS_COMISS_INVES,EMENDAS_BANC_TOTAL,EMENDAS_BANC_CUSTEIO,EMENDAS_BANC_INVES,EMENDAS_REL_TOTAL,EMENDAS_REL_CUSTEIO,EMENDAS_REL_INVES
12,Acre,880631,AC,Norte,Rural,"0,3035289014",Muito Baixa,"1,208470178",Completa,"0,2","0,948527817",Muito Alta,1,"95,04548443",Muito Baixa,"0,2","42,44547048",Muito Baixa,"0,2","11,12272037",Alta,"0,8","0,79337824",Baixa,"902,1877291",Muito Baixa,"0,2","165,1186195",Muito Alta,145408575,"114,8040439",Muito Baixa,"1,318447795",Alta,"0,6037832748",Baixa,835303,"178593727,5","202,8019994","62937427,03","71,46855724",Muito Alta,122046580,23361995,129113698,106839703,22273995,15206877,15206877,0,0,0,0,1088000,0,1088000
27,Alagoas,3220104,AL,Nordeste,Rural,"0,5099379026",Muito Alta,"1,160434098",Completa,"0,2","0,8792032804",Alta,"0,8","146,1132932",Muito Alta,1,"59,96475924",Média,"0,6","9,650642046",Média,"0,6","0,8637053877",Média,"1507,233742",Alta,"0,8","181,773889",Muito Alta,585330827,"112,0150157",Muito Baixa,"1,567619245",Alta,"0,775578535",Alta,2831126,"625071402,4","194,115284","220278653,3","68,40731022",Alta,558718067,26612760,173496008,147147926,26348082,265569979,265305301,264678,146264840,146264840,0,0,0,0
16,Amapá,802837,AP,Norte,Rural,"0,5526658587",Muito Alta,"1,273471262",Completa,"0,2","0,9211097645",Muito Alta,1,"104,2552847",Média,"0,6","82,82179973",Muito Alta,1,"12,33720955",Muito Alta,1,"0,7238337126",Muito Baixa,"1014,056179",Muito Baixa,"0,2","148,2072242",Alta,"118986243,3","157,690789",Média,"0,61572648",Muito Baixa,"0,5517040247",Muito Baixa,739501,"125679617,7","156,5443767","44290199,22","55,16711265",Baixa,105390260,"13595983,29","103327104,3",87734212,"15592892,29",17656048,17656048,0,0,0,0,0,0,0
13,Amazonas,4281209,AM,Norte,Rural,"0,3874992228",Muito Baixa,"0,9874117525",Alta,"0,4","0,8423896147",Média,"0,6","95,48704583",Baixa,"0,4","71,62640079",Média,"0,6","10,07150483",Baixa,"0,4","0,836548366",Média,"1106,10177",Média,"0,6","105,2118497",Baixa,450433918,"141,7823797",Baixa,"1,385408888",Muito Alta,"0,6576065702",Alta,3606446,"826401938,2","193,0300385","291228658,5","68,02486365",Alta,443782366,6651552,"184538076,9","182155657,3","2382419,6",109173973,109173973,0,152498170,152494885,"3284,95",4357000,0,4357000
29,Bahia,14850513,BA,Nordeste,Rural,"0,4415122898",Alta,"1,152665754",Completa,"0,2","0,8830245797",Alta,"0,8","127,76663",Média,"0,6","57,73503998",Baixa,"0,4","10,0186085",Muito Alta,1,"0,8188172144",Baixa,"1185,461553",Baixa,"0,4","69,78774025",Baixa,1036383744,"134,1300466",Baixa,"1,120898921",Muito Baixa,"0,7573284137",Baixa,13113368,2784462826,"187,499437","963131642,8","64,85510923",Baixa,1020951843,"15431900,83","658820734,4",645908060,"12912674,43",376569218,375049733,1519485,0,0,0,1087975,0,1087975
23,Ceará,9233656,CE,Nordeste,Rural,"0,2357399453",Muito Baixa,"1,264236539",Completa,"0,2","0,8419283759",Média,"0,6","120,5156441",Baixa,"0,4","49,80760035",Muito Baixa,"0,2","7,657603708",Muito Baixa,"0,2","0,8882487627",Muito Alta,"1393,884533",Média,"0,6","62,22948754",Muito Baixa,574605681,"143,8541787",Média,"1,850443963",Muito Alta,"0,8308150713",Muito Alta,7774077,1837693966,"199,0212724","509144947,3","55,14012514",Muito Baixa,561602091,13003590,"310478784,2","301109942,2",9368842,206857557,204210778,2646779,"56631627,29",56407668,"223959,29",788000,0,788000
53,Distrito Federal,2982818,DF,Centro-Oeste,Urbano,"0,2144458026",Muito Baixa,"0,8041833888",Média,"0,6","0,6701431331",Muito Baixa,"0,2","98,43041044",Muito Baixa,"0,2","42,05886718",Muito Baixa,"0,2","6,72304634",Muito Baixa,"0,2","0,890867786",Muito Alta,"1396,519436",Muito Baixa,"0,2","0,04424842548",Muito Baixa,131985,"148,7184267",Baixa,"1,02230307",Muito Baixa,"0,7797849606",Baixa,1998915,"231476304,7","77,60322777","81555380,02","27,34172183",Muito Baixa,0,131985,18720,16020,2700,131985,0,131985,0,0,0,0,0,0
32,Espírito Santo,4102129,ES,Sudeste,Rural,"0,2705240133",Muito Baixa,"1,085962378",Completa,"0,2","0,6763100332",Muito Baixa,"0,2","143,9983969",Baixa,"0,4","42,75549455",Baixa,"0,4","7,485498705",Alta,"0,8","0,8660042932",Alta,"1190,664105",Muito Baixa,"0,2","48,09909391",Muito Alta,197308688,"150,7509881",Alta,"1,401200694",Alta,"0,7641098588",Muito Baixa,2774311,"543923753,7","132,5954776","172600222,9","42,07576673",Alta,177103880,20204808,"132006787,4",115501652,"16505135,37",41633127,40946989,686138,20019501,19908036,111465,3987348,941780,3045568
52,Goiás,7350483,GO,Centro-Oeste,Urbano,"0,4422541213",Baixa,"0,9362204607",Alta,"0,4","0,7370902021",Baixa,"0,4","137,4059365",Alta,"0,8","57,22738582",Muito Alta,1,"7,752706763",Baixa,"0,4","0,76527118",Muito Baixa,"1438,249935",Baixa,"0,4","46,06126618",Alta,338572554,"144,0993741",Muito Baixa,"1,604269407",Baixa,"0,7773333964",Muito Baixa,5417969,"956452403,9","130,121028","335967019,4","45,70679497",Alta,313749759,24822795,"189507346,6",169232253,"20275093,58",108019448,107332218,687230,41592233,37185288,4406945,851000,0,851000
21,Maranhão,7010960,MA,Nordeste,Urbano,"0,4627555285",Alta,"1,394518334",Completa,"0,2","0,925511057",Muito Alta,1,"111,4683296",Muito Baixa,"0,2","79,71967058",Muito Alta,1,"9,747058168",Alta,"0,8","0,7544325933",Muito Baixa,"1224,098845",Baixa,"0,4","90,08562879",Média,631586740,"171,388797",Muito Alta,"1,070635263",Muito Baixa,"0,6844944075",Muito Baixa,6488721,1644244458,"234,5248665","471862387,3","67,30353436",Média,630776725,810015,302302964,301622997,"679966,98",218886991,218754643,132348,110399085,110399085,0,0,0,0
