id 6,id 7,id,name,sigla_uf,uf_id,regiao_de_saude_id,populacao,Faixa_Porte,Faixa IVS,regiao,tipologia_urb_rur,INEAB,FAIXA_INEAB,OBSERVAÇÃO,COBERTURA_AB,FAIXA_COBERTURA_AB,NOTA_COBERTURA_AB,OBS,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,NOTA_POP_SUS,POP_EXC_SUS,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT_MUN,MORT_MAT,MORT_MAT_FAIXA,MORT_MAT_NOTA,MORT_INF_MUN,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,ORC_PERCAP,ORC_PERCAP_FAIXA,ORC_PERCAP_NOTA,OBS,ICSAP,ICSAP_FAIXA,NOTA_ICSAP,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,PRE_NATAL_FAIXA,EMENDAS_TOTAL,EMENDAS_PERCAP,EMENDAS_PERCAP_FAIXA,EMENDAS_TOTAL_CUSTEIO,EMENDAS_TOTAL_INVES,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAPITA,TETO_AJUSTADO,TETO_AJUSTADO_PERCAP,TETO_AJUSTADO_PERCAP_FAIXA,EMENDAS_IND_TOTAL,EMENDAS_IND_CUSTEIO,EMENDAS_IND_INVES,EMENDAS_COMISS_TOTAL,EMENDAS_COMISS_CUSTEIO,EMENDAS_COMISS_INVES,EMENDAS_BANC_TOTAL,EMENDAS_BANC_CUSTEIO,EMENDAS_BANC_INVES,EMENDAS_REL_TOTAL,EMENDAS_REL_CUSTEIO,EMENDAS_REL_INVES
110001,1100015,1100015,Alta Floresta D'Oeste (RO),RO,11,11005,22853,Pequeno,Média,Norte,Urbano,"0,4001146458",Baixa,,"1,139852982",Completa,"0,2",,"0,9526539185",Média,"0,6",21771,"109,3948278",Alta,"0,8",0,"72,72080754",Média,"0,6","5,16216441","7,995186517",Muito Baixa,"0,2","1,037542662",Alta,"1588,604407",Alta,"0,4",0,"503,2162079",Muito Alta,1,"1,194416488",Baixa,"0,8301886792",Muito Alta,2450000,"107,2069313",Baixa,1900000,550000,"4583677,812","200,572258","1627317,094","70,66704623",Baixa,2450000,1900000,550000,0,0,0,0,0,0,0,0,0
110002,1100023,1100023,Ariquemes (RO),RO,11,11001,108573,Grande,Baixa,Norte,Urbano,"0,7241866762",Muito Alta,,"0,686749352",Muito Baixa,1,,"0,9284444567",Média,"0,6",100804,"122,498227",Alta,"0,8","22,14839424","64,62003998",Baixa,"0,4","12,70066184","12,99787301",Muito Alta,1,"0,9154325513",Média,"1476,36474",Alta,"0,4",0,"111,4457554",Baixa,"0,4","0,8410470375",Muito Baixa,"0,8432234432",Muito Alta,4161838,"38,33216361",Muito Baixa,2200000,1961838,"10019067,96","92,27955348","3557012,781","32,51258941",Muito Baixa,2961838,1000000,1961838,1200000,1200000,0,0,0,0,0,0,0
110003,1100031,1100031,Cabixi (RO),RO,11,11006,5690,Pequeno,Baixa,Norte,Rural,"0,387486819",Muito Baixa,,"1,962250047",Completa,"0,2",,"0,9687170475",Alta,"0,8",5512,"158,172232",Muito Alta,1,0,"14,07657658",Muito Baixa,"0,2",0,"8,740141434",Baixa,"0,4","1,098245614",Muito Alta,"2532,138118",Muito Alta,"0,2",0,"246,0456942",Muito Alta,1,"1,683479789",Média,"0,9636363636",Muito Alta,1218000,"214,059754",Média,1218000,0,"1218092,09","214,0759385","432452,3149","75,4247591",Baixa,1218000,1218000,0,0,0,0,0,0,0,0,0,0
110004,1100049,1100049,Cacoal (RO),RO,11,11002,97637,Médio,Baixa,Norte,Urbano,"0,3968503743",Baixa,,"0,9767974496",Alta,"0,4",,"0,901932669",Baixa,"0,4",88062,"135,1946496",Alta,"0,8",0,"25,71148452",Muito Baixa,"0,2","5,612639028","6,859648011",Muito Baixa,"0,2","0,8973767886",Baixa,"1028,854073",Baixa,"0,8",0,"252,977867",Muito Alta,1,"0,725892848",Muito Baixa,"0,8588421887",Muito Alta,4349987,"44,5526491",Muito Baixa,3850000,499987,"9271376,27","94,95761105","3291564,048","33,45614173",Muito Baixa,4349987,3850000,499987,0,0,0,0,0,0,0,0,0
110005,1100056,1100056,Cerejeiras (RO),RO,11,11006,16975,Pequeno,Baixa,Norte,Urbano,"0,3417402062",Muito Baixa,,"1,321585903",Completa,"0,2",,"0,9492783505",Média,"0,6",16114,"135,4933726",Alta,"0,8",0,"14,07657658",Muito Baixa,"0,2","2,674765558","8,740141434",Baixa,"0,4","0,9190677966",Média,"1999,631453",Muito Alta,"0,2",0,"306,3328424",Muito Alta,1,"1,404712813",Média,"0,8739130435",Muito Alta,2200000,"129,6023564",Baixa,2200000,0,"3060465,21","180,2925013","1086539,577","63,52193795",Muito Baixa,2200000,2200000,0,0,0,0,0,0,0,0,0,0
110006,1100064,1100064,Colorado do Oeste (RO),RO,11,11006,16588,Pequeno,Baixa,Norte,Urbano,"0,3958958283",Baixa,,"1,117282768",Completa,"0,2",,"0,942609115",Média,"0,6",15636,"138,654449",Muito Alta,1,0,"14,07657658",Muito Baixa,"0,2","16,13127717","8,740141434",Baixa,"0,4","0,8598314607",Baixa,"1534,173437",Alta,"0,4",0,"325,5365324",Muito Alta,1,"1,341873644",Média,"0,9306358382",Muito Alta,1299801,"78,35790933",Baixa,950000,349801,"2670191,35","160,9712654","947982,866","56,71454251",Muito Baixa,1299801,950000,349801,0,0,0,0,0,0,0,0,0
110007,1100072,1100072,Corumbiara (RO),RO,11,11006,8001,Pequeno,Média,Norte,Rural,"0,2367904012",Muito Baixa,,"1,396462296",Completa,"0,2",,"0,9866266717",Alta,"0,8",7894,"49,99375078",Muito Baixa,"0,2","323,6245955","14,07657658",Muito Baixa,"0,2","9,740465766","8,740141434",Baixa,"0,4","0,7559090909",Muito Baixa,"2243,746149",Muito Alta,"0,2",0,"87,48906387",Muito Baixa,"0,2","1,887264092",Alta,"0,9215686275",Muito Alta,1038997,"129,8583927",Baixa,650000,388997,"2211022,956","276,3433266","784966,9196","97,36324869",Média,1038997,650000,388997,0,0,0,0,0,0,0,0,0
110008,1100080,1100080,Costa Marques (RO),RO,11,11007,13522,Pequeno,Alta,Norte,Rural,"0,5100783908",Média,,"1,386315039",Completa,"0,2",,"0,9809199823",Alta,"0,8",13264,"214,4653158",Muito Alta,1,0,"48,94762604",Muito Baixa,"0,2","9,521047425","10,64539494",Alta,"0,8","0,8471052632",Baixa,"1421,933515",Média,"0,6",0,"103,53498",Baixa,"0,4","0,6914657595",Muito Baixa,"0,758974359",Média,2248686,"166,2983286",Média,1850000,398686,"2739953,976","202,629343","972750,2948","71,39181307",Baixa,1848686,1450000,398686,400000,400000,0,0,0,0,0,0,0
110009,1100098,1100098,Espigão D'Oeste (RO),RO,11,11002,32717,Médio,Média,Norte,Urbano,"0,5194345447",Alta,,"0,8329366968",Média,"0,6",,"0,9619158236",Média,"0,6",31471,"171,1648379",Muito Alta,1,"69,58942241","25,71148452",Muito Baixa,"0,2","8,921519695","6,859648011",Muito Baixa,"0,2","0,9630208333",Média,"1123,046564",Baixa,"0,8",0,"238,408167",Alta,"0,8","0,9913806278",Muito Baixa,"0,7897574124",Alta,2935791,"89,73289116",Baixa,2885793,49998,"4344786,624","132,7990532","1542504,913","46,7887081",Muito Baixa,2935791,2885793,49998,0,0,0,0,0,0,0,0,0
110010,1100106,1100106,Guajará-Mirim (RO),RO,11,11004,43553,Médio,Média,Norte,Urbano,"0,3453116892",Muito Baixa,,"1,265722193",Completa,"0,2",,"0,9591991367",Média,"0,6",41776,"87,25001722",Média,"0,6","95,22184115","44,54044082",Muito Baixa,"0,2","8,737787264","8,706875426",Baixa,"0,4","0,7877192982",Muito Baixa,"1392,620374",Média,"0,6",0,"266,3421578",Muito Alta,1,"0,6395885473",Muito Baixa,"0,509118541",Muito Baixa,2975736,"68,32447822",Baixa,2342129,633607,"8789741,58","201,8171327","3120572,02","71,10564935",Baixa,2475736,1842129,633607,500000,500000,0,0,0,0,0,0,0
