id,uf_id,name,populacao,regiao,INEAB,INEAB_FAIXA,COBERTURA_AB,FAIXA_COBERTURA_AB,NOTA_COBERTURA_AB,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,NOTA_MORT_MAT,MORT INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,OBS,VACINAÇÃO_FAIXA,DESPESA SAUDE_PER CAPITA,FAIXA_DESP_SAUDE_P,NOTA_DESP_SAUDE_P,EMENDAS_TOTAL,EMENDAS_PERCAP,FAIXA_EMENDAS_P,ICSAP,ICSAP_FAIXA,CONSULTAS_APS_HAB,FAIXA_CONSULTAS_APS_HAB,PRE_NATAL,PRE_NATAL_FAIXA,POP_SUS,TETO_EMENDAS_MS,TETO_EMENDAS_PERCAP,TETO EMENDAS_AJUSTADO,TETO_AJUSTADO_PERCAP,FAIXA_TETO_AJUSTADO_PERCAP,EMENDAS_CUSTEIO,EMENDAS_INVESTIMENTO,EMENDAS_IND_24,EMENDAS_IND_24_CUSTEIO,EMENDAS_IND_24_INVES,EMENDAS_COMISS_24,EMENDAS_COMISS_24_CUSTEIO,EMENDAS_COMISS_24_INVEST,EMENDAS_BANC_24,EMENDAS_BANC_24_CUSTEIO,EMENDAS_BANC_24_INVES,EMENDAS_REL_24,EMENDAS_REL_24_CUSTEIO,EMENDAS_REL_24_INVES
11001,11,VALE DO JAMARI,236275,Norte,"0,6130321024",Média,"0,9326713837",Alta,"0,4","0,95786266",Alta,"0,8","121,4686277",Alta,"0,8","64,62003998",Baixa,"0,4","12,99787301",Muito Alta,1,"0,9683241569",,Muito Alta,"1380,4203",Alta,"0,8",21106989,"89,33229923",Baixa,"168,8710189",Média,"1,220162946",Média,"0,8531855956",Muito Alta,226319,"39778775,17","168,3579523","14015141,34","59,31707264",Muito Baixa,14224520,6882469,16932469,10050000,6882469,4174520,4174520,0,0,0,0,0,0,0
11002,11,CAFE,184948,Norte,"0,4225504466",Muito Baixa,"0,9229350869",Alta,"0,4","0,9185879274",Média,"0,6","135,7138223",Muito Alta,1,"25,71148452",Muito Baixa,"0,2","6,859648011",Muito Baixa,"0,2","0,9577042629",,Muito Alta,"1167,968238",Média,"0,6",13072750,"70,68338127",Baixa,"271,4276445",Muito Alta,"0,9644062115",Baixa,"0,8524150268",Muito Alta,169891,"23214864,3","125,5210346","8179226,306","44,22446474",Muito Baixa,11422837,1649913,12883775,11422837,1460938,188975,0,188975,0,0,0,0,0,0
11003,11,CENTRAL,354543,Norte,"0,4847572227",Baixa,"0,8535419005",Média,"0,6","0,9322254282",Alta,"0,8","128,0521686",Muito Alta,1,"14,17124544",Muito Baixa,"0,2","6,958363685",Muito Baixa,"0,2","0,8712507155",,Média,"1193,607063",Média,"0,6",35052294,"98,86612907",Baixa,"265,4120939",Muito Alta,"1,199685229",Baixa,"0,8544332724",Muito Alta,330514,"61013416,29","172,0903143","21496681,31","60,63208499",Baixa,25018827,10033467,31107564,21274097,9833467,3944730,3744730,200000,0,0,0,0,0,0
11004,11,MADEIRA-MAMORE,620294,Norte,"0,3410266744",Muito Baixa,"1,176039063",Completa,"0,2","0,8525666861",Média,"0,6","118,1697711",Alta,"0,8","44,54044082",Muito Baixa,"0,2","8,706875426",Baixa,"0,4","0,8253775443",,Baixa,"1112,361585",Média,"0,6",27550434,"44,41512251",Muito Baixa,"118,0085572",Muito Baixa,"0,6418488652",Muito Baixa,"0,6343954248",Baixa,528842,"76737308,08","123,7111887","27036634,84","43,58680696",Muito Baixa,23827450,3722984,22450434,18727450,3722984,5100000,5100000,0,0,0,0,0,0,0
11005,11,ZONA DA MATA,137958,Norte,"0,5732701257",Média,"0,8076698931",Média,"0,6","0,9554502095",Alta,"0,8","113,8027516",Alta,"0,8","72,72080754",Média,"0,6","7,995186517",Muito Baixa,"0,2","0,9485267589",,Muito Alta,"1424,61578",Muito Alta,1,20570656,"149,1081054",Alta,"290,6681744",Muito Alta,"1,531248641",Alta,"0,8649900728",Muito Alta,131812,"26268246,56","190,4075629","9255015,688","67,08574848",Média,17125028,3445628,17292656,13847028,3445628,3278000,3278000,0,0,0,0,0,0,0
11006,11,CONE SUL,168222,Norte,"0,5231901892",Baixa,"0,7846427519",Baixa,"0,8","0,9020520503",Média,"0,6","110,5681778",Média,"0,6","14,07657658",Muito Baixa,"0,2","8,740141434",Baixa,"0,4","0,9596092685",,Muito Alta,"1822,891711",Muito Alta,1,14160545,"84,17772348",Baixa,"244,9144583",Muito Alta,"1,741020794",Alta,"0,8666989821",Muito Alta,151745,"24613200,96","146,3138053","8671898,235","51,55032181",Muito Baixa,9377150,4783395,14160545,9377150,4783395,0,0,0,0,0,0,0,0,0
11007,11,VALE DO GUAPORE,43987,Norte,"0,8254484279",Muito Alta,"0,6885639862",Muito Baixa,1,"0,9826766999",Muito Alta,1,"147,7709323",Muito Alta,1,"48,94762604",Baixa,"0,4","10,64539494",Alta,"0,8","0,9398682043",,Alta,"1409,948072",Muito Alta,1,5599198,"127,292109",Média,"252,3472844",Muito Alta,"1,185691227",Baixa,"0,765993266",Alta,43225,"10416898,58","236,8176639","3670155,889","83,43728576",Média,4118000,1481198,2898509,2100000,798509,2700689,2018000,682689,0,0,0,0,0,0
12001,12,ALTO ACRE,75243,Norte,"0,5922012679",Média,"0,6448979592",Muito Baixa,1,"0,9870021132",Muito Alta,1,"91,70288266",Média,"0,6",0,Muito Baixa,"0,2","9,544574782",Média,"0,6","0,8053998351",,Muito Baixa,"709,8563999",Muito Baixa,"0,2",27334283,"363,2800792",Muito Alta,"217,9604747",Muito Alta,"1,835705647",Alta,"0,6338273758",Baixa,74265,"20059737,68","266,5993871","7067589,628","93,93019455",Alta,19422681,7911602,24194955,16283353,7911602,3139328,3139328,0,0,0,0,0,0,0
12002,12,BAIXO ACRE E PURUS,557753,Norte,"0,42539565",Muito Baixa,"0,9351017085",Alta,"0,4","0,9247731523",Alta,"0,8","102,3750657",Média,"0,6","41,85195481",Muito Baixa,"0,2","11,62462175",Alta,"0,8","0,8046767908",,Muito Baixa,"783,3475268",Muito Baixa,"0,2",59300996,"106,3212497",Média,"93,05194235",Muito Baixa,"1,288842911",Média,"0,6333629366",Baixa,515795,"96412641,86","172,8590288","33968788,55","60,90292396",Baixa,47401584,11899412,50371754,39560342,10811412,7841242,7841242,0,0,0,0,1088000,0,1088000
12003,12,JURUA E TARAUACA/ENVIRA,247635,Norte,"0,5743975609",Média,"0,7051215273",Baixa,"0,8","0,9903406223",Muito Alta,1,"79,55256729",Baixa,"0,4","56,18685777",Baixa,"0,4","10,69907797",Alta,"0,8","0,7689527111",,Muito Baixa,"641,1038377",Muito Baixa,"0,2",58773296,"237,3384053",Muito Alta,"132,4530054",Baixa,"1,227960506",Média,"0,5417989418",Muito Baixa,245243,"62121347,99","250,8585135","21887035,7","88,38425786",Alta,55222315,3550981,54546989,50996008,3550981,4226307,4226307,0,0,0,0,0,0,0
