UF,id,name,Pop_2022,região,tipologia_urb_rural,INEAB,INEAB_FAIXA,COBERTURA_AB,COBERTURA_AB_FAIXA,COBERTURA_AB_NOTA,PORCENTAGEM_POP_SUS,PORCENTAGEM_POP_SUS_FAIXA,PORCENTAGEM_POP_SUS_NOTA,MORT_DCNT,MORT_DCNT_FAIXA,MORT_DCNT_NOTA,MORT_MAT,MORT_MAT_FAIXA,MORT_MAT_NOTA,MORT_INF,MORT_INF_FAIXA,MORT_INF_NOTA,VACINACAO,VACINACAO_FAIXA,ORC_PERCAP,ORC_PERCAP_FAIXA,ORC_PERCAP_NOTA,EMENDAS_PERCAP,EMENDAS_PERCAP_FAIXA
AC,12,Acre,830.026,Norte,Rural,"0,473507456",Muito Baixa,"79,79",Baixa,"0,8","0,947014913",Muito Alta,1,"105,6593408",Muito Baixa,"0,2","2104,043764",Muito Baixa,"0,2","11,73883291",Alta,"0,8","0,702263853",Muito Baixa,"615,9128966",Muito Baixa,"0,2","138,7853609",Alta
AL,27,Alagoas,3.127.511,Nordeste,Rural,"0,700071079",Muito Alta,"76,54",Baixa,"0,8","0,875088849",Alta,"0,8","160,2232574",Muito Alta,1,"2723,28646",Média,"0,6","9,378828518",Alta,"0,8","0,877962625",Muito Alta,"1096,986583",Alta,"0,8","97,92893307",Alta
AM,13,Amazonas,3.941.175,Norte,Rural,"0,4395342",Muito Baixa,"75,97",Baixa,"0,8","0,845258077",Média,"0,6","108,7746675",Baixa,"0,4","2123,704146",Baixa,"0,4","10,06657069",Baixa,"0,4","0,796319728",Baixa,"844,6017096",Baixa,"0,4","78,46204465",Muito Baixa
AP,16,Amapa,733.508,Norte,Rural,"0,622202948",Alta,"57,14",Muito Baixa,1,"0,915004335",Muito Alta,1,"109,201263",Média,"0,6","1938,499803",Muito Baixa,"0,2","12,63965479",Muito Alta,1,"0,630030003",Muito Baixa,"600,5562167",Muito Baixa,"0,2","180,7292886",Muito Alta
BA,29,Bahia,14.136.417,Nordeste,Rural,"0,510436763",Alta,"82,47",Média,"0,6","0,880063385",Alta,"0,8","140,6013985",Média,"0,6","3257,574531",Muito Alta,1,"0,647392893",Muito Baixa,"0,2","0,818187962",Baixa,"944,3031728",Baixa,"0,4","51,3049296",Muito Baixa
CE,23,Ceara,8.791.688,Nordeste,Rural,"0,387555591",Muito Baixa,"95,04",Alta,"0,4","0,842512155",Média,"0,6","132,5570243",Muito Baixa,"0,2","2741,069288",Alta,"0,8","7,702380332",Baixa,"0,4","0,912049587",Muito Alta,"1075,428169",Média,"0,6","75,3663986",Baixa
DF,53,Distrito Federal,2.817.068,Centro-Oeste,Urbano,"0,305854243",Muito Baixa,"69,24",Muito Baixa,1,"0,664900528",Muito Baixa,"0,2","128,1474214",Muito Baixa,"0,2","2107,908547",Muito Baixa,"0,2","7,441875041",Muito Baixa,"0,2","0,859692072",Muito Alta,"1344,074532",Baixa,"0,4","4,689861132",Muito Baixa
ES,32,Espirito Santo,3.833.486,Sudeste,Rural,"0,317776562",Baixa,"84,31",Média,"0,6","0,662034503",Muito Baixa,"0,2","166,9498728",Baixa,"0,4","2809,501973",Muito Baixa,"0,2","7,418658",Alta,"0,8","0,850216785",Alta,"901,9774217",Muito Baixa,"0,2","61,6087608",Muito Alta
GO,52,Goias,7.055.228,Centro-Oeste,Urbano,"0,628336527",Muito Alta,"76,25",Baixa,"0,8","0,80555965",Baixa,"0,4","139,5560852",Alta,"0,8","3429,782",Muito Alta,1,"7,728097515",Alta,"0,8","0,732780248",Muito Baixa,"1119,396055",Muito Baixa,"0,2","72,66917426",Muito Alta
MA,21,Maranhao,6.775.152,Nordeste,Urbano,"0,424318787",Baixa,"84,89",Média,"0,6","0,922432146",Muito Alta,1,"115,5546031",Muito Baixa,"0,2","2304,218237",Muito Baixa,"0,2","9,549976973",Alta,"0,8","0,77236509",Baixa,"931,7044735",Baixa,"0,4","85,73921432",Média
MG,31,Minas Gerais,20.538.718,Sudeste,Rural,"0,274192886",Muito Baixa,"90,34",Alta,"0,4","0,721560226",Muito Baixa,"0,2","150,9490514",Muito Baixa,"0,2","3034,060012",Baixa,"0,4","7,007668972",Muito Baixa,"0,2","0,853676914",Alta,"1536,291916",Muito Alta,1,"53,03566889",Alta
MS,50,Mato Grosso do Sul,2.756.700,Centro-Oeste,Rural,"0,499819937",Baixa,"90,24",Alta,"0,4","0,757302935",Baixa,"0,4","164,1455363",Muito Alta,1,"2939,400909",Alta,"0,8","7,479433497",Baixa,"0,4","0,845186079",Média,"1646,094231",Muito Alta,1,"59,21345548",Alta
MT,51,Mato Grosso,3.658.813,Centro-Oeste,Rural,"0,506016181",Alta,"84,1",Média,"0,6","0,81615513",Média,"0,6","130,6161315",Baixa,"0,4","2547,626934",Baixa,"0,4","8,528377992",Muito Alta,1,"0,84603086",Média,"1455,476049",Alta,"0,8","58,79597953",Baixa
PA,15,Para,8.116.132,Norte,Urbano,"0,713824763",Muito Alta,"66,66",Muito Baixa,1,"0,892280954",Alta,"0,8","109,3747613",Alta,"0,8","2279,851956",Alta,"0,8","10,21354843",Média,"0,6","0,682478189",Muito Baixa,"846,0000197",Média,"0,6","53,93261071",Muito Baixa
PB,25,Paraiba,3.974.495,Nordeste,Rural,"0,52906495",Alta,"94,15",Alta,"0,4","0,881774917",Alta,"0,8","146,1317727",Alta,"0,8","2771,601121",Alta,"0,8","9,163465421",Baixa,"0,4","0,820683986",Média,"1088,12985",Alta,"0,8","114,1313636",Alta
PE,26,Pernambuco,9.058.155,Nordeste,Urbano,"0,607063359",Muito Alta,"80,24",Média,"0,6","0,843143554",Média,"0,6","166,7447731",Muito Alta,1,"2942,792225",Muito Alta,1,"9,298823551",Média,"0,6","0,779389059",Baixa,"822,5149254",Muito Baixa,"0,2","73,17609917",Muito Baixa
PI,22,Piaui,3.269.200,Nordeste,Rural,"0,507594916",Média,"98,71",Alta,"0,4","0,875163649",Alta,"0,8","138,0765937",Baixa,"0,4","2687,037407",Baixa,"0,4","9,80893165",Muito Alta,1,"0,862825964",Muito Alta,"1199,592414",Muito Alta,1,"124,2129812",Muito Alta
PR,41,Parana,11.443.208,Sul,Rural,"0,452005864",Média,"90,33",Alta,"0,4","0,729041716",Muito Baixa,"0,2","164,1585122",Média,"0,6","3083,075198",Média,"0,6","6,569157952",Muito Alta,1,"0,877010486",Muito Alta,"1196,224455",Média,"0,6","50,72456792",Muito Alta
RJ,33,Rio de Janeiro,16.054.524,Sudeste,Urbano,"0,634640569",Muito Alta,"69,51",Muito Baixa,1,"0,647592417",Muito Baixa,"0,2","198,4985665",Muito Alta,1,"3984,54546",Muito Alta,1,"9,112494313",Muito Alta,1,"0,679666328",Muito Baixa,"1334,190347",Alta,"0,8","49,60820992",Baixa
RN,24,Rio Grande do Norte,3.302.406,Nordeste,Urbano,"0,455674753",Baixa,"81,69",Média,"0,6","0,813704917",Baixa,"0,4","145,7725065",Alta,"0,8","2714,114808",Baixa,"0,4","7,511426427",Muito Baixa,"0,2","0,798754541",Baixa,"1207,468886",Muito Alta,1,"115,3520149",Muito Alta
RO,11,Rondonia,1.581.016,Norte,Urbano,"0,703715687",Muito Alta,"78,84",Baixa,"0,8","0,902199598",Muito Alta,1,"139,2142774",Muito Alta,1,"2737,141833",Muito Alta,1,"8,418153657",Muito Baixa,"0,2","0,859211902",Muito Alta,"1089,354092",Muito Alta,1,"94,3822109",Baixa
RR,14,Roraima,636.303,Norte,Rural,"0,589561388",Baixa,"86,7",Média,"0,6","0,950905465",Muito Alta,1,"104,3528005",Muito Baixa,"0,2","2177,601301",Média,"0,6","14,04794529",Muito Alta,1,"0,684620799",Muito Baixa,"859,2771804",Alta,"0,8","168,0837337",Muito Alta
RS,43,Rio Grande do Sul,10.880.506,Sul,Urbano,"0,6526853",Muito Alta,"79,87",Baixa,"0,8","0,758936395",Baixa,"0,4","186,9490261",Muito Alta,1,"3276,376949",Muito Alta,1,"6,299895966",Média,"0,6","0,856885406",Alta,"1204,070463",Muito Alta,1,"50,53763411",Média
SC,42,Santa Catarina,7.609.601,Sul,Rural,"0,203026708",Muito Baixa,"97,51",Alta,"0,4","0,780871954",Baixa,"0,4","158,4314342",Muito Baixa,"0,2","2445,054354",Muito Baixa,"0,2","5,899197813",Muito Baixa,"0,2","0,856573211",Alta,"1190,658113",Muito Baixa,"0,2","48,72362049",Muito Baixa
SE,28,Sergipe,2.209.558,Nordeste,Rural,"0,389660882",Muito Baixa,"95,19",Alta,"0,4","0,847088875",Média,"0,6","134,099218",Baixa,"0,4","2562,297693",Muito Baixa,"0,2","11,83708884",Muito Alta,1,"0,838409241",Média,"857,4167716",Muito Baixa,"0,2","73,30559403",Baixa
SP,35,Sao Paulo,44.420.459,Sudeste,Urbano,"0,438261371",Alta,"67,68",Muito Baixa,1,"0,592245096",Muito Baixa,"0,2","177,3101894",Alta,"0,8","3182,192329",Alta,"0,8","7,31768054",Baixa,"0,4","0,826002815",Média,"1303,240469",Baixa,"0,4","27,44881508",Muito Baixa
TO,17,Tocantins,1.511.459,Norte,Rural,"0,605241876",Média,"94,36",Alta,"0,4","0,917033145",Muito Alta,1,"124,5154516",Muito Alta,1,"2530,160649",Muito Alta,1,"8,608686909",Muito Baixa,"0,2","0,855705507",Alta,"1162,5471",Muito Alta,1,"135,7097989",Média
